[2019-02-18 14:02:04] main.ERROR: Error: Application is not installed yet.  [] []
[2019-02-18 14:09:44] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:44] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:44] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_29","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:48] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-02-18 14:09:48] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:48] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:48] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:48] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-02-18 14:09:48] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_30","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_31","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:50] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:50] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:50] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:50] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_32","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:52] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:52] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_33","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:52] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_34","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-02-18 14:09:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:55] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_35","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:55] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
